"Privacy Settings","Privacy Settings"
"Privacy Settings Tab Name","Privacy Settings Tab Name"
"Privacy Tab Settings","Privacy Tab Settings"
"Process personal data for orders in the selected status(es)","Process personal data for orders in the selected status(es)"
"Processed","Processed"
"Read our privacy policy to understand how we collect, use, and protect your personal data.","Read our privacy policy to understand how we collect, use, and protect your personal data."
"Recent Documents","Recent Documents"
"Record consent responses from guest users","Record consent responses from guest users"
"Reject","Reject"
"Reject Deletion Request","Reject Deletion Request"
"Rejected","Rejected"
"Replace your personal details with anonymized values while keeping your order history intact. This action cannot be undone.","Replace your personal details with anonymized values while keeping your order history intact. This action cannot be undone."
"Request Account Deletion","Request Account Deletion"
"Requested","Requested"
"Review and action customer account deletion requests","Review and action customer account deletion requests"
"Revoke your previously given privacy consent. The popup will be shown again on your next visit.","Revoke your previously given privacy consent. The popup will be shown again on your next visit."
"Save Settings","Save Settings"
"Set up automated email alerts for consent events and data requests","Set up automated email alerts for consent events and data requests"
"Show Cookie Policy link","Show Cookie Policy link"
"Show Data Protection Officer contact information","Show Data Protection Officer contact information"
"Show Privacy Policy link","Show Privacy Policy link"
"Show:","Show:"
"Showing %1–%2 of %3 entries","Showing %1–%2 of %3 entries"
"Status","Status"
"Submit a request to permanently delete your account and all associated personal data. An admin will review and process your request.","Submit a request to permanently delete your account and all associated personal data. An admin will review and process your request."
"Targets customers whose most recent order is older than the threshold, or who have never ordered","Targets customers whose most recent order is older than the threshold, or who have never ordered"
"This action is irreversible and all your data will be permanently removed.","This action is irreversible and all your data will be permanently removed."
"Total","Total"
"View Cookie Policy","View Cookie Policy"
"View Privacy Policy","View Privacy Policy"
"Weeks","Weeks"
"Withdraw Consent","Withdraw Consent"
"Withdrawn","Withdrawn"
"Years","Years"
"You can update your preferences anytime from your privacy settings.","You can update your preferences anytime from your privacy settings."
"Your Data Rights","Your Data Rights"
"Your consent has been withdrawn successfully. The privacy popup will appear again on your next visit.","Your consent has been withdrawn successfully. The privacy popup will appear again on your next visit."
"Your data is ready. The file download will begin shortly.","Your data is ready. The file download will begin shortly."
"Your data will be provided in a secure file for your records.","Your data will be provided in a secure file for your records."
"Your identity will be anonymized but your past orders will be preserved.","Your identity will be anonymized but your past orders will be preserved."
"Your password","Your password"
"dpo@yourstore.com","dpo@yourstore.com"
"https://yourstore.com/cookie-policy","https://yourstore.com/cookie-policy"
"https://yourstore.com/privacy-policy","https://yourstore.com/privacy-policy"
"+1 555 000 0000","+1 555 000 0000"
"Jane Doe","Jane Doe"
